Name,Value,Wage
Jordan Hallam,€200K,€2K
Michael Olczyk,€130K,€1K
Erlend Tolnes Sørhøy,€130K,€1K
Mark Shelton,€160K,€3K
Max Johnstone,€160K,€1K
Jonas Brauti,€160K,€1K
Daiki Tomii,€80K,€1K
Louis John,€120K,€2K
Jungang Sun,€140K,€2K
Carlos Terán,€200K,€1K
Andrew Lyons,€160K,€1K
Alexander Ahl Holmström,€230K,€1K
Luca Mack,€210K,€2K
Mateusz Hołownia,€140K,€1K
Aidan Stone,€130K,€1K
Matthew Warburton,€120K,€3K
Johannes Tartarotti,€170K,€1K
Marvin Kokos,€190K,€1K
Dylan Fage,€170K,€2K
Ludovic Le Pennec,€180K,€1K
Dane Ingham,€160K,€1K
Giuliano Galoppo,€200K,€2K
Godson Kyeremeh,€220K,€1K
Jack Kiersey,€170K,€2K
Innes Cameron,€220K,€1K
Joe Sbarra,€230K,€1K
Peter Gwargis,€210K,€2K
Remigiusz Borkała,€160K,€1K
Xiaoxing Tong,€80K,€2K
Zhiwei Song,€90K,€2K
Fabian Nürnberger,€160K,€1K
Robert Harker,€220K,€3K
Paul Lewis,€130K,€2K
Andrei Cristea,€160K,€1K
Denis Jäpel,€170K,€1K
Alex Addai,€140K,€2K
Jermaine Hylton,€120K,€2K
Hassan Al Geed,€230K,€4K
Iustin Popescu,€100K,€1K
Blankson Anoff,€190K,€1K
Wenjun Jiang,€90K,€2K
Eleuterio Jiménez,€170K,€3K
Dion Sanderson,€210K,€5K
Yi Luo,€60K,€2K
Lorenz Grabovac,€150K,€2K
Owen Bailey,€210K,€4K
Samir Chergui,€180K,€1K
David Nemeth,€200K,€1K
Santiago Giménez,€220K,€2K
Callum Maycock,€170K,€1K
Sorin Șerban,€210K,€1K
Pontus Almqvist,€200K,€1K
Ji Hwan Moon,€130K,€1K
Ross Callachan,€130K,€1K
Daiki Kaneko,€170K,€1K
Marian Prinz,€190K,€1K
Martin Lukov,€0,€0
Adrian Ioniță,€180K,€1K
Cameron Yates,€130K,€1K
Alfie Bates,€210K,€1K
Stephen Walker,€240K,€2K
Niko Hämäläinen,€150K,€1K
Kerui Chen,€160K,€3K
Walter Figueira,€140K,€1K
Dylan Duncan,€230K,€1K
Dawid Szot,€200K,€1K
Hantian Xiang,€140K,€2K
Orhan Vojić,€150K,€1K
James Delianov,€190K,€1K
Will Collar,€130K,€1K
Abdulquddus Attiah,€150K,€2K
Mathias Fredriksen,€130K,€1K
Aaron Reardon,€160K,€1K
Eoin Toal,€210K,€1K
Samir Bouzar,€180K,€1K
Hassani Dotson,€130K,€1K
Jonte Smith,€140K,€2K
Nikita Haikin,€110K,€1K
Michael Lansing,€110K,€1K
Jan de Boer,€140K,€1K
Flemming Niemann,€120K,€1K
Sam Todd,€160K,€1K
Maximilian Rohr,€130K,€1K
Steven Boyd,€170K,€1K
Mohamed Daramy,€230K,€1K
Patrick Flottmann,€150K,€1K
Jake Beesley,€150K,€3K
Devante Rodney,€170K,€3K
Yuanjie Su,€150K,€2K
Joshua Steiger,€210K,€1K
Charlie Wakefield,€180K,€1K
Leon Davies,€160K,€1K
Cristian Barrios,€190K,€1K
Marc Mas Costa,€100K,€1K
Carlos Pájaro,€140K,€1K
Stephan Mensah,€180K,€1K
Enzo Ferrario,€150K,€1K
Ryan Bouallak,€190K,€1K
Charles Vernam,€150K,€2K
Chenlong Zhang,€110K,€2K
Eliezer Ira Tape,€0,€0
Joseph Olowu,€210K,€5K
Alexandru Piftor,€190K,€1K
Antonio Ramírez,€170K,€1K
Kenta Ito,€150K,€1K
Vincent Gembalies,€180K,€1K
Nawaf Al Farshan,€230K,€4K
Pascal Petlach,€160K,€2K
Dominik Steczyk,€230K,€1K
Luca Ashby-Hammond,€180K,€1K
Douglas Martínez,€140K,€1K
Hugo Garcia,€140K,€1K
Zain Issaka,€150K,€2K
Woo Suk Kim,€160K,€1K
David Kasumu,€190K,€1K
Onur Ünlüçifçi,€160K,€1K
Emil Holten,€150K,€2K
Bandar Baajaj,€120K,€3K
Guillaume Dietsch,€180K,€1K
Izaack Powell,€190K,€1K
Aldhair Molina,€210K,€1K
Oliver Valaker Edvardsen,€200K,€1K
Yimmy Congo,€170K,€1K
Wei Wu,€120K,€3K
Khamis Digol,€160K,€1K
Alexis Gutiérrez,€190K,€2K
Vincent Trummer,€210K,€2K
Danny Amos,€160K,€1K
Oan Djorkaeff,€160K,€1K
Mohammed Al Zubaidi,€160K,€2K
Ryan Lloyd,€130K,€2K
Jacob Borg,€100K,€1K
Filip Bainović,€120K,€1K
Federico Illanes,€130K,€1K
Marwan Al Haidari,€100K,€3K
Tolaji Bola,€180K,€7K
Kyriakos Stamatopoulos,€10K,€1K
Jimmy Knowles,€210K,€1K
Uroš Đuranović,€140K,€1K
Ryan East,€180K,€3K
Nassim El Ablak,€190K,€1K
John Kavanagh,€120K,€1K
Dawid Pakulski,€160K,€1K
Tomáš Huk,€130K,€1K
Markus Fjörtoft,€120K,€1K
Javier Orobio,€130K,€1K
Justin Vom Steeg,€130K,€1K
Joon Beom Kim,€170K,€1K
Santeri Väänänen,€200K,€1K
Xiaogang Zhu,€80K,€2K
Kwang Il Park,€100K,€1K
Hyun Sik Lee,€150K,€1K
Ouparine Djoco,€190K,€1K
Hassan Mohammed Raghfawi,€130K,€3K
Barry Maguire,€210K,€1K
Dan Kemp,€170K,€8K
Ryan Barnett,€220K,€1K
Mirlind Kryeziu,€120K,€2K
Jesper Lindstrøm,€220K,€2K
Junsheng Yao,€140K,€3K
Dominik Budzyński,€70K,€1K
Sami Ben Amar,€190K,€3K
Alexander Ammitzbøll,€170K,€2K
Jinqing Li,€140K,€2K
Rene Gilmartin,€60K,€5K
Benjamín Rivera,€150K,€1K
Nick Sullivan,€170K,€1K
Ramón Pasquel,€100K,€2K
Rob Nizet,€190K,€1K
Djed Spence,€200K,€1K
Cameron Devlin,€180K,€1K
Zhen Cong,€150K,€2K
Kasper Thiesson Kristensen,€140K,€1K
Hassan Tombakti,€210K,€3K
Shawn Adewoye,€210K,€1K
Magnus Norman,€120K,€4K
Rafael Tapia,€220K,€1K
Thomas Secchi,€110K,€1K
Calvin Bombo,€210K,€1K
Niklas Klinger,€130K,€4K
Jeison Truque,€190K,€1K
Jojo Wollacott,€130K,€2K
Jan-Lukas Funke,€210K,€1K
Massimo Bertagnoli,€180K,€1K
Joe Rankin-Costello,€170K,€2K
Leonardo Morales,€80K,€2K
Tom Clifford,€150K,€1K
Jack McMillan,€140K,€1K
Albie Morgan,€190K,€2K
Thomas Heward-Belle,€120K,€1K
Hani Al Sibyani,€130K,€2K
Mario Shabow,€130K,€1K
Yahia Fofana,€160K,€1K
Kasper Høgh,€190K,€1K
Joshua Cavallo,€170K,€1K
John Russell,€40K,€1K
Yuki Ohashi,€130K,€1K
Silas Schwarz,€130K,€1K
Mohsen Abdullah,€120K,€1K
Harry Darling,€180K,€1K
Daniel Mushitu,€200K,€1K
Ramy Najjarine,€190K,€1K
Morgan Williams,€180K,€1K
Johannes Kraus,€130K,€1K
Luke Pilling,€100K,€1K
Pablo Benitez,€80K,€1K
Cem Sabanci,€160K,€1K
Arno Van Keilegom,€150K,€2K
Yong Jae Jo,€160K,€1K
Liam Kerrigan,€160K,€1K
Josh Nisbet,€140K,€1K
Nattawut Suksum,€140K,€1K
Marius Leca,€170K,€1K
Michael McCrudden,€100K,€1K
Maher Al Mutairi,€200K,€2K
Andy Fisher,€120K,€2K
Dominik Jończy,€150K,€1K
Marokhy Ndione,€140K,€1K
Luis Quintero,€120K,€1K
Dominik Klann,€130K,€1K
Adam Grinwis,€80K,€1K
Daniel Miljanović,€150K,€1K
Jamie Semple,€210K,€1K
Cristian Arco Cabello,€90K,€1K
Linus Obexer,€140K,€1K
Marius Hauptmann,€190K,€1K
Brandon Onkony,€130K,€1K
Kyle Zobeck,€80K,€1K
Cendrim Kameraj,€180K,€1K
Jesús Garza,€160K,€5K
Christian N'Guessan,€140K,€4K
Rahmat Akbari,€190K,€1K
Camilo Ariza,€110K,€1K
Seung Woo Kim,€110K,€1K
Daniel Devine,€140K,€2K
Youssef Maleh,€170K,€1K
Ryan Watson,€110K,€3K
Thomas Roberts,€190K,€1K
Andre Hasanally,€180K,€1K
Maciej Dampc,€110K,€1K
Juan Carlos Caicedo,€140K,€1K
Oskar Snorre,€170K,€1K
Víctor Jaramillo,€130K,€3K
Yuzo Kurihara,€30K,€1K
Andre Rawls,€80K,€1K
Edi Sylisufaj,€130K,€1K
Liuyu Duan,€150K,€2K
Daniel Stynes,€160K,€1K
Sam Ling,€130K,€2K
Chee In Jeong,€160K,€1K
Naif Almas,€160K,€3K
Berkay Fındık,€170K,€1K
Alexi Pitu,€180K,€1K
Hasan Huseyin Duman,€160K,€1K
Calum MacDonald,€180K,€1K
Brayan Palmezano,€190K,€1K
Joep Munsters,€130K,€1K
So Woong Kim,€160K,€1K
Benji Michel,€160K,€1K
Okera Simmonds,€200K,€1K
Sam Lavelle,€110K,€1K
Geraldo Bajrami,€180K,€1K
Pacifique Niyongabire,€160K,€1K
Jong Pil Kim,€100K,€1K
Cristian Pizarro,€140K,€1K
Fahad Al Rashidi,€140K,€3K
Lars Nussbaumer,€180K,€1K
Dimtry Zhuravlev,€130K,€1K
Luka Kukić,€90K,€1K
Shinichiro Kawamata,€70K,€1K
Ali Al Salem,€100K,€3K
Areli Hernández,€100K,€2K
Nicholas Mickelson,€180K,€1K
Jérémy Corinus,€120K,€1K
Deshane Dalling,€170K,€1K
Josip Stanisic,€180K,€1K
Oliver Sigurjónsson,€120K,€1K
Juan Carlos Diaz,€180K,€1K
Ryan Cassidy,€190K,€4K
Martín Lara,€190K,€1K
Rory Feely,€140K,€1K
Sung Min Hwang,€80K,€1K
Kristoffer Askildsen,€180K,€1K
André Alsanati,€190K,€1K
Yuya Oki,€160K,€1K
Anudaan Sanghu,€0,€0
Łukasz Soszyński,€150K,€1K
Bryan Teixeira,€190K,€1K
Philipp Bachmeier,€130K,€1K
James Monyane,€160K,€1K
Tyreke Wilson,€180K,€7K
Ruyeri Blanco,€150K,€1K
Madanapal Chada,€0,€0
Michael Cooper,€160K,€1K
Michael Barker,€90K,€1K
Olatunde Bayode,€150K,€4K
Louie Sibley,€200K,€1K
Faraj Al Ghashayan,€190K,€3K
James Doona,€120K,€1K
Abdullah Al Bahri,€100K,€3K
Benjamín Berríos,€200K,€1K
Michael Fuentes,€160K,€1K
Lucas Alarcón,€180K,€1K
Sekou Camara,€150K,€1K
Cosmin Achim,€110K,€1K
Kelyan Guessoum,€190K,€2K
Dan Happe,€190K,€2K
Jack Tucker,€120K,€1K
Yahya Khormi,€170K,€3K
Ziming Wang,€140K,€3K
Jingqi Fang,€80K,€3K
Calum Waters,€120K,€1K
Mohammed Naji,€110K,€4K
José Paradela,€170K,€2K
Xiaoxuan Ji,€110K,€1K
Ruben Roosken,€150K,€1K
Habib Al Watyan,€110K,€3K
Johan Castillo,€200K,€1K
Leon Bürger,€190K,€1K
Valance Nambishi,€160K,€2K
Mizuki Ando,€140K,€1K
Brayan Moreno,€140K,€1K
Damian Michalski,€120K,€1K
Tyler Magloire,€190K,€1K
Yves Kaiser,€190K,€3K
Ibrahim Karamoko,€150K,€1K
Raffaele Cretaro,€30K,€1K
Dariusz Pawłowski,€130K,€1K
Hakim Guenouche,€180K,€1K
Tae Jun Park,€160K,€1K
Joon Jae Myeong,€100K,€1K
Caolán Boyd-Munce,€150K,€1K
Riku Matsuda,€130K,€1K
Dennis Politic,€190K,€1K
Hazaa Assiri,€110K,€3K
Jorge Miguel Soares Vieira,€80K,€1K
Gastón Zuñiga,€130K,€1K
Issa Kabore,€170K,€1K
Justin Roth,€180K,€1K
Brandon Servania,€200K,€1K
Agustín Obando,€190K,€2K
Azad Toptik,€160K,€2K
Florian Heister,€130K,€2K
Maxim Edapin,€160K,€2K
Joachim Olufsen,€120K,€1K
Wei Long,€110K,€2K
Stephen Mallon,€200K,€4K
Kevin Tshiembe,€140K,€2K
Rhys Norrington-Davies,€180K,€1K
Dario Marzino,€100K,€2K
Kazuki Yamaguchi,€120K,€1K
Wataru Tanaka,€180K,€1K
Mark Timlin,€120K,€1K
Tomás Ahumada,€100K,€1K
Dylan Pierias,€180K,€1K
Radoslav Tsonev,€120K,€3K
Gerardo Bruna,€90K,€1K
Max Winter,€120K,€2K
Niall Morahan,€150K,€1K
Niall Corbet,€80K,€1K
Egy Maulana Vikri,€190K,€1K
Josef Bursik,€160K,€1K
Hiroki Mawatari,€90K,€1K
Abel Aguirre,€140K,€2K
Luka Marković,€200K,€4K
Rui Peng,€100K,€2K
Kwame Poku,€180K,€1K
Răzvan Onea,€130K,€1K
Baixu Xiang,€130K,€2K
Keane Lewis-Potter,€190K,€1K
Rhys Oates,€120K,€2K
Ciaran Gallagher,€80K,€1K
Adrian Kappenberger,€90K,€1K
Aoshuang Nie,€120K,€2K
Jakov Medić,€130K,€2K
Lukas Wackerle,€90K,€2K
Tsubasa Shibuya,€90K,€1K
Alessandro Fiordaliso,€140K,€1K
Jason Law,€150K,€2K
Lucas Buades,€150K,€3K
Michael Fernandes,€200K,€2K
Jonas Meiser,€150K,€1K
Tomasz Dejewski,€110K,€1K
Florian Kastenmeier,€100K,€3K
Heng Liu,€110K,€2K
Akinwale Odimayo,€180K,€2K
Diant Ramaj,€150K,€1K
Yaxiong Bao,€110K,€1K
Luke Conlan,€100K,€1K
Omar Al Jadaani,€140K,€4K
Jhon Labastidas,€140K,€1K
Lorenzo Ruggiero,€160K,€1K
Ismael Cheick Coulibaly,€160K,€1K
Jeppe Gertsen,€140K,€2K
Paul Costea,€130K,€1K
Daniel Mladenov,€0,€0
Mun Kyung Gun,€90K,€1K
Jun Shen,€50K,€2K
Alex Palmer,€110K,€2K
Mohammed Al Sufyani,€200K,€3K
Georgi Pashov,€0,€0
José Guzmán,€200K,€1K
Dean Campbell,€200K,€1K
Oliver Klitten,€190K,€2K
Sam Warde,€130K,€1K
Santiago Ramos Mingo,€180K,€1K
Gyu Seong Lee,€120K,€1K
Laorent Shabani,€160K,€1K
Luis Ortiz,€110K,€1K
Sagir Arce,€180K,€1K
Marco Dulca,€200K,€1K
Juan Diego Nieva,€190K,€1K
Hussain Salem,€140K,€3K
William Fitzgerald,€150K,€1K
Jae Won Shin,€130K,€1K
Ali Al Hassan,€130K,€4K
Zhen Wei,€130K,€2K
Yuta Higuchi,€130K,€1K
Adrian Delap,€200K,€1K
Helmer Andersson,€170K,€1K
Callan Elliot,€150K,€1K
Miguel Ospino,€110K,€1K
Aksel Aktas,€190K,€1K
İsmail Ünal,€140K,€1K
Nasser Al Dajani,€150K,€3K
Dominic Revan,€170K,€2K
Makito Ito,€100K,€1K
Connor van den Berg,€120K,€1K
Toru Takagiwa,€90K,€1K
Tommy Pawlson,€190K,€1K
Mizuki Hayashi,€100K,€1K
Wanshun Yang,€120K,€2K
Tom Schlitter,€90K,€1K
Hussain Ali Al Jasim,€120K,€3K
Benjamín Jerez,€180K,€1K
Anthony Driscoll-Glennon,€150K,€3K
Omar Rodríguez,€100K,€1K
Iker Pozo La Rosa,€180K,€4K
Edward Morillo,€120K,€1K
Colm Deasy,€110K,€1K
Jon Gallagher,€120K,€1K
Amar Hodžić,€150K,€2K
Sadou Diallo,€200K,€1K
Cristian Dumitru,€180K,€1K
John Mary,€110K,€3K
Patrick Okonkwo,€160K,€1K
Max Sheaf,€190K,€1K
Seung Kyu Lee,€80K,€1K
Zak Mills,€90K,€2K
Jannes Van Hecke,€180K,€1K
Moritz Römling,€190K,€1K
Sang Su Lee,€150K,€1K
Kusini Yengi,€160K,€1K
Liam Gibson,€140K,€1K
Cesar Ibañez,€140K,€1K
Shaocong Wu,€170K,€2K
Tyler Hamilton,€130K,€2K
Conor Kearns,€130K,€1K
YanFeng Dong,€110K,€2K
David Moyo,€120K,€1K
Steven Ako,€130K,€1K
Richard Taylor,€140K,€1K
Liam Scales,€190K,€1K
Frederik Schram,€90K,€1K
Firas Al Birekan,€200K,€4K
Mukhair Al Rashidi,€180K,€2K
Daniël Camara Bos,€130K,€1K
Muteb Al Hamad,€160K,€3K
Hussain Al Eissa,€190K,€1K
Chris Zuvela,€140K,€2K
André David de Oliveira Ribeiro,€130K,€2K
Gaute Vetti,€140K,€1K
Nicolás Cordero,€200K,€2K
Matthias Minder,€80K,€1K
Tadhg Ryan,€120K,€1K
Léo Farine,€120K,€1K
Neil Farrugia,€200K,€1K
Marcelo Miño,€130K,€1K
Ema Twumasi,€150K,€1K
Michał Trąbka,€150K,€1K
Yihu Yang,€90K,€3K
Lachlan Brook,€190K,€1K
Mateusz Spychała,€150K,€1K
Dimitrios Ioannidis,€190K,€1K
Armin Gigovic,€150K,€1K
Pedro Campos,€190K,€2K
Yoan Zouma,€160K,€1K
Cristian Andreoni,€90K,€1K
Ángel Alonzo,€160K,€1K
Shunki Higashi,€180K,€1K
Sebastián Pereira,€120K,€1K
Melker Nilsson,€180K,€1K
Corrie Ndaba,€180K,€1K
Ming'an Cui,€120K,€2K
Daniel López,€140K,€2K
Piotr Pierzchała,€130K,€1K
Tom Renaud,€190K,€1K
Jacob Mensah,€120K,€2K
Akira Ando,€110K,€1K
Connor Kirby,€200K,€1K
Taylor Perry,€180K,€1K
Mohammed Al Saeed,€140K,€4K
Joseph Romanski,€120K,€1K
Wilfried Bedfian,€150K,€1K
Mikey Place,€150K,€1K
Kalle Björklund,€190K,€1K
Dario De Vita,€180K,€1K
Guowen Sun,€110K,€2K
Michael Steinwender,€180K,€2K
Timo Hölscher,€190K,€1K
Hailong Li,€130K,€2K
Tony McNamee,€110K,€1K
Hayen Palacios,€190K,€1K
Aníbal Mosquera,€30K,€1K
Shaquil Delos,€150K,€1K
Ege Özkayımoğlu,€180K,€1K
Ricardo Cruz,€160K,€3K
Max Kulke,€180K,€1K
Meinhard Olsen,€150K,€1K
Ernesto Carratala Jimenez,€170K,€1K
Lewis Gibbens,€170K,€1K
Jonas Scholz,€140K,€1K
Jonas Dakir,€100K,€1K
Edgar Games,€180K,€1K
Matt Bersano,€80K,€1K
Khaled Al Dubaysh,€150K,€2K
Isaac Olaofe,€160K,€2K
Stan van Dijck,€140K,€1K
Khaled Fahad Al Jubea,€200K,€2K
George Merloi,€170K,€1K
Fredrik Hammar,€160K,€2K
Florian Flick,€110K,€1K
Sam Raben,€100K,€1K
Pedro Sánchez,€110K,€1K
Akin Famewo,€130K,€4K
Berat Şahiner,€130K,€1K
Jonas Weik,€140K,€1K
Nebiyou Perry,€130K,€1K
Mohammed Al Dawsari,€100K,€2K
Mardochee Nzita,€120K,€1K
Connor Metcalfe,€170K,€1K
Wei Guo,€60K,€2K
Oliver Petersen,€130K,€1K
Tianyi Gao,€110K,€2K
Togo Umeda,€140K,€1K
Sam Junqua,€120K,€1K
Nathan Tormey,€170K,€6K
Filip Møller Delaveris,€160K,€1K
Mohammad Fuad Al Thani,€120K,€3K
Richie O'Farrell,€160K,€1K
Nathan Tella,€150K,€5K
Birkan Kirdar,€160K,€1K
Titas Milašius,€140K,€1K
Harvey Knibbs,€180K,€2K
Cam Lindley,€140K,€1K
Cameron Coxe,€130K,€3K
Daiju Sasaki,€140K,€1K
Chenglong Li,€110K,€2K
Torbjørn Heggem,€120K,€1K
Danijel Nizic,€70K,€1K
Kevin Perez,€120K,€1K
Abdullah Al Qahtani,€130K,€3K
Bünyamin Balcı,€160K,€1K
Aaron Hayden,€120K,€2K
Jun Okano,€110K,€1K
Victor Timmers,€140K,€1K
Antonio Diaz,€170K,€1K
Milan De Mey,€150K,€1K
Freyn Figueroa,€150K,€1K
Ryan Sandford,€130K,€1K
Cameron Breadner,€160K,€1K
Rahmetullah Berişbek,€180K,€2K
Camilo Albornoz,€160K,€1K
Mathias Rosenørn,€80K,€2K
Jae won Lee,€120K,€1K
Daniel Hafsteinsson,€140K,€1K
Luis Gabriel Rivas,€150K,€1K
Carlos Herrera,€180K,€1K
August Mikkelsen,€160K,€1K
Juan Silgado,€110K,€1K
Ho In Lee,€110K,€1K
Iván Ibáñez,€180K,€1K
Yushi Yamaya,€140K,€1K
Geovan Montes,€110K,€1K
Ágoston Kiss,€140K,€1K
Tommy McCabe,€170K,€1K
Dale Gorman,€120K,€2K
Byron Nieto,€130K,€1K
Trey Muse,€140K,€1K
Scott Twine,€130K,€1K
Taiyo Hama,€110K,€1K
Alhassan Toure,€140K,€1K
Brian Maher,€120K,€1K
Sang Hoon Ma,€80K,€1K
Rarmani Edmonds-Green,€160K,€3K
Oliver Ottesen,€100K,€2K
Kenshin Yoshimaru,€80K,€1K
Andre Reynolds II,€150K,€1K
İbrahim Sevinç,€150K,€1K
Luis Gamíz,€160K,€2K
Takuya Uchida,€120K,€1K
Chris Goslin,€170K,€1K
Tianyuan Xu,€140K,€2K
Mark Coyle,€110K,€1K
Phillip Ejimadu,€140K,€1K
Thaar Al Otaibi,€170K,€3K
Shu Mogi,€100K,€1K
Leo Mätzler,€150K,€1K
Nikita Dorofeev,€120K,€5K
Cristian Moya,€160K,€1K
George Lloyd,€170K,€1K
Tom Amos,€130K,€1K
Jorge García,€160K,€1K
Ryan Graydon,€120K,€1K
Giona Leibold,€160K,€1K
Simon Beccari,€100K,€1K
Ruairí Harkin,€80K,€1K
Artur Bogusz,€90K,€1K
Kaisei Ishii,€170K,€1K
Lee Buchanan,€170K,€1K
Omar Montaño,€130K,€1K
Kota Ogi,€10K,€1K
Ricardo Gutiérrez,€100K,€1K
Ameen Bukhari,€100K,€3K
Josh Koroma,€180K,€4K
Eelamynthan Suresh,€0,€0
Abel Hidalgo,€160K,€1K
George Buliga,€130K,€1K
Mark McGinley,€70K,€1K
Robin Jalving,€120K,€1K
Nicky Hunt,€20K,€2K
Eren Çetindere,€160K,€1K
Andrew Owusu,€140K,€2K
Jordan Garrick,€140K,€3K
Furkan Kadir Durmuş,€170K,€2K
Mircea Leasă,€120K,€1K
Philipp Sturm,€130K,€1K
Haowen Li,€110K,€3K
Josh Griffiths,€150K,€1K
Jan Ras,€140K,€1K
Ronaldo Lora,€120K,€1K
Jostein Ekeland,€130K,€1K
Aaron Bastiaans,€160K,€1K
José Carrasco,€0,€0
Roman Birjukov,€120K,€1K
Nick Otto,€160K,€1K
Faisal Darisi,€110K,€3K
Ciaron Brown,€110K,€3K
Motohiko Nakajima,€130K,€1K
Juliusz Letniowski,€150K,€1K
Hiroto Ishikawa,€120K,€1K
Benjamin Cabango,€160K,€2K
Kamil Piątkowski,€160K,€1K
Matheo Castaño,€180K,€1K
Goro Kawanami,€70K,€1K
Daigo Araki,€100K,€1K
Uros Vasic,€170K,€1K
Shiyuan Yang,€90K,€2K
Nathan Gartside,€120K,€1K
Bojan Radulovic,€140K,€4K
Shuto Watanabe,€110K,€1K
Shumpei Naruse,€130K,€1K
Janer Ordóñez,€110K,€1K
Toichi Suzuki,€170K,€1K
Dinghao Yan,€150K,€3K
Ellis Iandolo,€100K,€2K
Taylor Curran,€100K,€1K
James Olayinka,€160K,€3K
Luis Galicia,€160K,€1K
Victor Boniface,€170K,€1K
Emil Holm,€160K,€1K
Frankie Musonda,€100K,€2K
Ionuț Pop,€100K,€1K
Tim Prica,€160K,€1K
Magnus Lankhof Dahlby,€170K,€1K
Josh Key,€140K,€1K
Frazer Blake-Tracy,€100K,€2K
Carlos Zarama,€150K,€1K
Miro Muheim,€160K,€2K
Florian Gonzales,€120K,€2K
Evan Osam,€130K,€1K
Evan Gumbs,€110K,€1K
Walter Scott,€130K,€1K
Mikołaj Nawrocki,€160K,€1K
Nikola Tavares,€140K,€5K
Rodrigo Yañez,€80K,€1K
Hampus Finndell,€170K,€1K
Kastriot Imeri,€160K,€1K
Dylan Ruiz-Diaz,€170K,€1K
Yihao Zhong,€110K,€3K
Connor Simpson,€150K,€1K
Louis Gray,€80K,€1K
Easah Suliman,€130K,€5K
Nathan Ferguson,€120K,€1K
Tomás Clavijo,€160K,€1K
Kevin Mellado,€180K,€1K
Lukas Klitten,€160K,€1K
Cristopher Mesías,€130K,€1K
Benjamin Carrigan,€110K,€1K
Billy Chadwick,€120K,€1K
Aygün Duman,€110K,€1K
Mario De Marino,€160K,€1K
Sotiris Alexandropoulos,€160K,€1K
Bali Mumba,€170K,€1K
Patrick Reading,€160K,€3K
Daniel Björkman,€90K,€1K
Salis Abdul Samed,€120K,€1K
Lewis Smith,€170K,€1K
Cagtay Kurukalip,€150K,€1K
Pengfei Mu,€50K,€2K
Maxime Leverbe,€110K,€1K
Camilo Díaz,€110K,€1K
Tyrese Francois,€160K,€2K
Hugo Constant,€120K,€1K
Giacomo Ricci,€110K,€1K
Nias Hefti,€160K,€1K
Carlo Armiento,€140K,€1K
Radhi Al Otaibi,€160K,€2K
Ken Tajiri,€80K,€1K
Shunta Awaka,€80K,€1K
Mattia Zennaro,€160K,€1K
Rumarn Burrell,€170K,€2K
Claudio Navarrete,€110K,€1K
Ronan Darcy,€160K,€1K
Sebastian Strózik,€130K,€1K
Ísak Óli Ólafsson,€110K,€1K
Jibril Abubakar,€170K,€2K
Ben Johnson,€160K,€5K
Hiroya Matsumoto,€160K,€1K
Romain Fleurier,€100K,€1K
Daniel Grimshaw,€150K,€6K
Jamie Stott,€130K,€1K
Fabián Cantillo,€120K,€1K
Joon Hee Lee,€80K,€1K
Will Longbottom,€110K,€2K
Le Liu,€60K,€2K
Martin Frese,€140K,€2K
Ahkeem Rose,€140K,€1K
Marvin Ekpiteta,€110K,€2K
Niklas Jahn,€140K,€1K
Edvard Sandvik Tagseth,€160K,€1K
Jordan Ponticelli,€180K,€1K
Samuel Brolin,€140K,€1K
Rakan Al Najjar,€90K,€3K
Kostandinos Grozos,€160K,€1K
Mateusz Skrzypczak,€150K,€1K
Fabian Tauchhammer,€150K,€1K
Carl Gustafsson,€150K,€1K
Tianyu Guo,€180K,€2K
Matias Leiva,€150K,€1K
Jhon Mena Vacca,€100K,€1K
Kyung Hyun Min,€160K,€1K
Georgios Pintidis,€170K,€1K
Amadou Dante,€150K,€1K
Sam Byrne,€110K,€1K
Jhoel Martinez,€120K,€1K
Ishamel Schubert-Abubakari,€170K,€1K
Shoubo Sun,€10K,€1K
Martin Francois,€130K,€1K
Hamad Hawsawi,€110K,€2K
Jin Hiratsuka,€130K,€1K
Peter Therkildsen,€120K,€1K
Nikolas Dyhr,€150K,€1K
Juan Sebastián López,€180K,€1K
Ahmadou Dia,€140K,€1K
Oussama Zamouri,€110K,€2K
Warren O'Hora,€160K,€4K
Mark Dignam,€120K,€1K
Maximilian Weiß,€140K,€1K
Alexander Concha,€170K,€1K
Liam McGing,€110K,€1K
Chen Li,€120K,€1K
Noel Niemann,€170K,€1K
Pedro Teixeira,€180K,€2K
Jackson Longridge,€90K,€2K
Yoyo Mahdy,€180K,€1K
Andrew Delly Marie-Sainte,€160K,€1K
Brad House,€150K,€3K
Jason Knight,€180K,€1K
Jared Khasa,€180K,€3K
Dylan Borrero,€160K,€1K
Kakeru Funaki,€120K,€1K
Thierry Iradukunda,€170K,€1K
Jake Doyle-Hayes,€170K,€2K
Tong Wang,€110K,€2K
Jack Sparkes,€150K,€1K
Byung Chan Choi,€120K,€1K
Boris Babic,€130K,€2K
Masataka Nishimoto,€110K,€1K
Ajibola Alese,€150K,€1K
Erlend Hustad,€120K,€1K
Andreas Heimer,€130K,€1K
Marvel Ekpiteta,€100K,€2K
Arthur Iontton,€160K,€1K
Wojciech Muzyk,€100K,€1K
Sebastian Jørgensen,€170K,€1K
Hikaru Arai,€140K,€1K
Mathieu Cordier,€130K,€1K
Christoph Haas,€70K,€2K
Oulad Omar,€140K,€1K
Qiang Jin,€100K,€2K
Yingjie Zhao,€90K,€2K
Jae Hyun Ko,€180K,€1K
Charlie Carter,€120K,€2K
